unit,number_of_incidents,leadership_rate,average_time_in_transit,total_time_in_transit,average_time_on_site,total_time_on_site,average_time_assigned,total_time_assigned
L3,194,0.4175257731958763,5.272727272727272,812,23.25324675324675,3581,23.32989690721649,4526
L4,264,0.3371212121212121,5.477832512315271,1112,12.94088669950739,2627,14.92045454545454,3939
L5,183,0.3825136612021858,7.479338842975206,905,15.07438016528926,1824,16.68306010928962,3053
L6,110,0.3727272727272727,6.565789473684211,499,17.64,1323,18.21100917431193,1985
L8,168,0.4583333333333333,7.0,847,16.53719008264463,2001,18.13690476190476,3047
L9,222,0.3558558558558558,5.927272727272728,978,15.16363636363636,2502,17.06756756756757,3789
LUMEN-CMD,1,0.0,0.0,0,,0,,0
LUMEN-EMS,2,0.0,2.5,5,,0,,0
LUMEN-HAZ,1,0.0,0.0,0,,0,,0
M1,367,0.444141689373297,7.042307692307692,1831,36.22307692307692,9418,32.15258855585831,11800
M10,334,0.4491017964071856,7.254385964912281,1654,39.87280701754386,9091,33.69461077844311,11254
M17,254,0.3740157480314961,7.791411042944786,1270,36.47239263803681,5945,30.36614173228346,7713
M18,142,0.3732394366197183,8.065217391304348,742,43.94565217391305,4043,35.3169014084507,5015
M26,51,0.392156862745098,8.058823529411764,274,41.42424242424242,1367,34.62,1731
M28,184,0.4076086956521739,7.215277777777778,1039,44.48611111111111,6406,41.63586956521739,7661
M31,156,0.4615384615384616,7.832,979,51.94262295081968,6337,48.3921568627451,7404
M32,161,0.453416149068323,7.798245614035087,889,44.93859649122807,5123,39.04347826086956,6286
M44,92,0.0,8.708333333333334,418,19.45833333333333,934,18.93478260869565,1742
MAR5,42,0.0,19.36363636363636,426,45.45454545454545,1000,39.31707317073171,1612
MIH,60,0.03333333333333333,19.0,38,0.0,0,9.883333333333333,593
MRN1,4,0.0,27.5,55,87.5,175,61.0,244
MVU1,4,0.0,26.33333333333333,79,62.0,186,72.5,290
NOR-M163,4,0.0,16.5,33,103.0,206,60.5,242
PIO,1,0.0,,0,,0,7.0,7
PIO2,3,0.0,5.666666666666667,17,39.0,78,39.0,78
PLEDG-EMS,13,0.2307692307692308,0.0,0,,0,,0
PTRL4,6,0.0,,0,,0,17.83333333333333,107
R1,123,0.2520325203252032,7.645569620253164,604,19.40506329113924,1533,19.48780487804878,2397
RB5,2,0.0,20.0,40,66.0,132,86.0,172
REHAB1,27,0.03703703703703703,13.85714285714286,97,18.0,126,14.2962962962963,386
SAFT2,66,0.0,10.87878787878788,359,24.06060606060606,794,20.81818181818182,1374
SQ14,3,1.0,0.0,0,,0,,0
STAF10,34,0.0,11.25,180,32.0625,513,24.70588235294118,840
TMOB-EMS,2,0.0,0.0,0,,0,,0
WAMU-EMS,6,0.3333333333333333,0.0,0,1.0,1,1.0,1
