,address,type,datetime,latitude,longitude,report_location,incident_number
7192,118 Bell St,Aid Response,2026-01-18T13:31:00.000,47.613497,-122.346355,"{'type': 'Point', 'coordinates': [-122.346355, 47.613497]}",F260008436
7193,619 3rd Ave,Aid Response,2026-01-18T13:27:00.000,47.6029,-122.331529,"{'type': 'Point', 'coordinates': [-122.331529, 47.6029]}",F260008434
7194,3040 17th Ave W,Aid Response Yellow,2026-01-18T13:23:00.000,47.647687,-122.378846,"{'type': 'Point', 'coordinates': [-122.378846, 47.647687]}",F260008433
7195,2220 E Union St,Medic Response,2026-01-18T13:10:00.000,47.612935,-122.303446,"{'type': 'Point', 'coordinates': [-122.303446, 47.612935]}",F260008426
7196,4516 Meridian Ave N,Auto Fire Alarm,2026-01-18T13:09:00.000,47.6615,-122.333722,"{'type': 'Point', 'coordinates': [-122.333722, 47.6615]}",F260008425
7197,515 3rd Ave,Medic Response- Overdose,2026-01-18T13:07:00.000,47.602158,-122.330849,"{'type': 'Point', 'coordinates': [-122.330849, 47.602158]}",F260008423
7198,159 DENNY WAY,Aid Response,2026-01-18T13:06:00.000,47.618595,-122.353553,"{'type': 'Point', 'coordinates': [-122.353553, 47.618595]}",F260008422
7199,4535 14th Ave S,Medic Response,2026-01-18T12:59:00.000,47.562858,-122.314805,"{'type': 'Point', 'coordinates': [-122.314805, 47.562858]}",F260008421
7200,1901 Ne 137th St,Aid Response,2026-01-18T12:55:00.000,47.728438,-122.308625,"{'type': 'Point', 'coordinates': [-122.308625, 47.728438]}",F260008420
7201,405 N 117th St,Aid Response,2026-01-18T12:53:00.000,47.714156,-122.354128,"{'type': 'Point', 'coordinates': [-122.354128, 47.714156]}",F260008418
7202,1300 E Pine St,HazMat Reduced,2026-01-18T12:50:00.000,47.615273,-122.315549,"{'type': 'Point', 'coordinates': [-122.315549, 47.615273]}",F260008417
7203,65 S Washington St,Rescue Elevator,2026-01-18T12:48:00.000,47.600886,-122.335349,"{'type': 'Point', 'coordinates': [-122.335349, 47.600886]}",F260008415
